               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054165,             0.01143,                   0,             0.95205,             0.74482,             0.81347,             0.36782,            0.043455,           0.0068246,                   0,            0.070016,           0.0033316,           0.0033316
                   1,            0.037486,           0.0069146,                   0,             0.96088,             0.79028,             0.86194,             0.42495,            0.039914,           0.0061175,                   0,             0.03995,           0.0065989,           0.0065989
                   2,            0.032499,           0.0062283,                   0,             0.95257,             0.81539,             0.88977,               0.423,            0.039291,           0.0060461,                   0,           0.0098178,           0.0098003,           0.0098003
                   3,            0.030503,           0.0059717,                   0,             0.94694,             0.83052,             0.89158,             0.43866,            0.037436,           0.0059136,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.029419,           0.0057566,                   0,             0.95835,             0.84913,             0.90912,             0.45275,               0.037,           0.0056177,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.028868,           0.0056488,                   0,             0.95498,             0.85921,             0.91165,             0.46366,            0.036219,           0.0057695,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.028575,           0.0055852,                   0,             0.95549,             0.85481,             0.90884,             0.45828,            0.036831,           0.0057263,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.028362,           0.0055411,                   0,             0.96027,             0.85657,             0.90989,             0.46407,            0.036528,           0.0057033,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.028123,           0.0055244,                   0,             0.95961,             0.85818,             0.91021,              0.4642,            0.036552,           0.0057301,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.028012,           0.0054725,                   0,             0.96133,             0.85834,             0.91078,             0.46561,            0.036515,           0.0057082,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.027914,           0.0054621,                   0,             0.95647,             0.86253,             0.91156,             0.46724,            0.036381,           0.0057252,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.027774,           0.0054376,                   0,             0.95474,              0.8635,             0.91214,             0.46718,            0.036357,           0.0057451,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.027679,           0.0054226,                   0,             0.95311,             0.86482,             0.91177,             0.46755,            0.036326,           0.0057694,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.027549,           0.0054026,                   0,             0.96089,             0.85863,             0.91084,              0.4674,            0.036305,           0.0058008,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.027478,           0.0053858,                   0,             0.95961,              0.8606,             0.91024,             0.46696,            0.036333,           0.0058208,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.027356,           0.0053738,                   0,             0.96278,             0.85624,              0.9093,             0.46805,            0.036343,           0.0058645,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.027309,           0.0053533,                   0,              0.9597,             0.85791,             0.90833,             0.46837,            0.036378,           0.0058926,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.027254,           0.0053511,                   0,             0.95609,             0.86073,             0.90764,             0.46754,            0.036466,           0.0059239,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.027178,            0.005321,                   0,             0.95853,             0.85737,             0.90634,             0.46677,            0.036614,           0.0059748,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.02707,           0.0053122,                   0,             0.96194,             0.85644,              0.9064,             0.46713,            0.036628,           0.0059904,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.027044,           0.0053092,                   0,             0.96061,             0.85486,             0.90498,             0.46608,            0.036762,           0.0060202,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.026974,           0.0052972,                   0,             0.96097,             0.85318,             0.90369,             0.46501,            0.036803,           0.0060613,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.026891,           0.0052797,                   0,             0.96019,             0.85211,             0.90287,             0.46444,            0.036817,           0.0060839,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.026824,           0.0052789,                   0,             0.95943,             0.85143,             0.90219,             0.46363,            0.036833,           0.0061131,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.026801,           0.0052619,                   0,             0.95854,             0.84997,             0.90138,             0.46214,            0.036923,           0.0061494,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.026781,           0.0052371,                   0,             0.96105,             0.84539,             0.89979,             0.46044,            0.037014,            0.006187,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.026598,           0.0052308,                   0,             0.95813,             0.84597,             0.89803,             0.45903,            0.037076,           0.0062361,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.02656,           0.0052307,                   0,             0.95625,             0.84486,             0.89807,             0.45671,            0.037135,           0.0062547,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.026575,           0.0052187,                   0,             0.95612,             0.84286,             0.89629,             0.45563,            0.037184,           0.0062734,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.026496,           0.0052002,                   0,             0.95782,             0.83788,             0.89456,             0.45319,            0.037306,            0.006327,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.026436,           0.0051867,                   0,             0.95596,             0.83721,             0.89309,             0.45147,            0.037353,           0.0063498,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026454,           0.0051942,                   0,             0.95633,             0.83634,             0.89151,              0.4511,            0.037367,           0.0063778,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.026305,           0.0051883,                   0,             0.95918,             0.83127,             0.89009,             0.44924,             0.03738,           0.0064007,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.026276,           0.0051746,                   0,             0.96012,             0.82743,             0.88855,             0.44757,            0.037429,           0.0064307,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.026277,           0.0051898,                   0,             0.96034,             0.82751,             0.88811,             0.44649,            0.037413,           0.0064242,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.026176,           0.0051671,                   0,             0.96157,             0.82514,             0.88714,             0.44525,            0.037472,           0.0064596,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.026088,           0.0051523,                   0,              0.9574,              0.8267,             0.88746,             0.44449,            0.037491,           0.0064553,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.026053,           0.0051373,                   0,             0.95982,             0.82611,             0.88599,             0.44375,            0.037576,           0.0064883,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.026018,           0.0051318,                   0,             0.95502,             0.82855,             0.88571,             0.44294,            0.037589,           0.0065087,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.026014,           0.0051385,                   0,             0.95585,             0.82841,             0.88567,             0.44239,            0.037652,           0.0065064,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.025923,           0.0051278,                   0,             0.95845,             0.82631,             0.88453,             0.44208,            0.037761,            0.006552,                   0,            0.006139,            0.006139,            0.006139
