               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063519,            0.013392,                   0,             0.93951,              0.8276,             0.86789,             0.36182,            0.041905,           0.0074668,                   0,            0.070032,           0.0033298,           0.0033298
                   1,            0.041376,           0.0079868,                   0,             0.97448,             0.86458,             0.91248,             0.43077,            0.039792,            0.006138,                   0,            0.039966,           0.0065972,           0.0065972
                   2,            0.035834,           0.0069625,                   0,             0.97526,             0.85279,             0.91547,             0.48103,            0.037172,           0.0058237,                   0,           0.0098336,           0.0097986,           0.0097986
                   3,            0.032801,            0.006501,                   0,             0.97874,             0.85376,             0.91776,             0.44486,            0.037894,           0.0060432,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.031487,           0.0062589,                   0,             0.96603,             0.87255,             0.92588,             0.49897,            0.035475,           0.0055833,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.03081,           0.0061039,                   0,             0.95795,             0.86724,             0.91984,             0.47779,            0.036253,           0.0061149,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.030261,           0.0059676,                   0,             0.96999,             0.90391,             0.94125,             0.50895,            0.034295,           0.0054128,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.029937,           0.0059255,                   0,             0.97125,             0.88848,             0.93433,             0.48963,            0.035437,            0.005538,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.029648,           0.0058439,                   0,              0.9761,             0.91313,             0.94888,             0.50738,            0.034397,             0.00532,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.029451,           0.0058115,                   0,             0.97534,             0.90475,             0.94533,             0.50201,            0.034849,           0.0054064,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.029306,           0.0057873,                   0,             0.97564,             0.90257,             0.93898,             0.50723,            0.034657,           0.0055113,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.02909,           0.0057554,                   0,             0.97559,             0.90472,             0.94051,             0.50752,            0.034372,           0.0054775,                   0,             0.00901,             0.00901,             0.00901
                  12,               0.029,           0.0057275,                   0,             0.97187,             0.90944,             0.94541,             0.50992,             0.03427,           0.0053853,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.028849,           0.0057029,                   0,             0.97754,             0.91011,             0.94735,             0.51011,            0.034301,           0.0053889,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.028612,           0.0056656,                   0,             0.97862,             0.90597,             0.94402,             0.50542,            0.034508,           0.0054354,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.028521,           0.0056728,                   0,             0.98256,              0.9086,             0.94778,              0.5076,            0.034352,           0.0053872,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.028451,           0.0056276,                   0,             0.98166,             0.90776,             0.94764,             0.50637,            0.034374,           0.0053825,                   0,            0.008515,            0.008515,            0.008515
