               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.059305,              0.0125,                   0,             0.91905,             0.56732,             0.65102,              0.2605,            0.054993,           0.0072435,                   0,            0.070032,           0.0033298,           0.0033298
                   1,            0.038474,           0.0068982,                   0,             0.93504,             0.62581,             0.69303,             0.27667,            0.052602,           0.0070908,                   0,            0.039966,           0.0065972,           0.0065972
                   2,            0.032209,           0.0057608,                   0,             0.85988,             0.61862,             0.68079,             0.27303,            0.052061,           0.0076308,                   0,           0.0098336,           0.0097986,           0.0097986
                   3,            0.028437,           0.0053929,                   0,             0.94583,              0.7741,             0.85138,              0.4178,            0.043368,           0.0060215,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.027003,           0.0051751,                   0,             0.91795,             0.70682,             0.76903,             0.37127,            0.045299,           0.0079445,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.026325,           0.0050563,                   0,             0.94594,              0.7148,             0.79877,             0.39461,            0.045297,           0.0076745,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.025967,           0.0049809,                   0,             0.92438,             0.73677,             0.82244,             0.39245,            0.045211,           0.0064876,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.025621,           0.0049183,                   0,             0.94821,             0.76161,             0.84079,             0.41134,             0.04393,           0.0067757,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.025476,           0.0048821,                   0,             0.95242,             0.74141,             0.82935,             0.40667,            0.043679,           0.0068168,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.025342,           0.0048686,                   0,             0.93957,             0.77182,             0.84312,               0.417,            0.043026,           0.0064881,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.025143,           0.0048417,                   0,              0.9503,             0.76335,             0.84618,             0.42058,            0.042783,           0.0068095,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.02499,           0.0048212,                   0,             0.95246,             0.76735,             0.84645,             0.42068,            0.043764,           0.0068934,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.024874,           0.0048109,                   0,             0.93453,             0.75929,             0.83761,             0.42185,            0.043788,            0.006858,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.024735,           0.0047898,                   0,             0.94485,             0.76363,             0.84645,             0.42557,            0.043246,           0.0068596,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.024666,           0.0047791,                   0,             0.95561,             0.77043,             0.85379,              0.4282,            0.043004,           0.0068191,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.024534,           0.0047601,                   0,             0.95731,             0.76578,             0.85617,             0.42769,            0.043151,           0.0067619,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.024537,           0.0047676,                   0,             0.96265,             0.76811,             0.85429,             0.42734,            0.043431,           0.0067932,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.024371,           0.0047347,                   0,             0.96011,             0.76551,             0.85309,             0.42761,            0.043317,            0.006873,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.024352,           0.0047178,                   0,              0.9567,             0.76903,             0.85254,             0.42732,            0.043634,           0.0069107,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.02426,           0.0047025,                   0,             0.95722,             0.76486,             0.84791,             0.42675,            0.043858,           0.0069788,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.024124,           0.0046982,                   0,             0.95695,             0.76363,             0.84682,             0.42612,            0.044007,            0.007013,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.024141,           0.0047061,                   0,             0.95522,             0.76091,             0.84572,             0.42584,            0.044012,           0.0070362,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.024071,            0.004699,                   0,             0.95423,             0.75836,             0.84571,             0.42534,            0.044016,           0.0070373,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.023952,           0.0046607,                   0,             0.95206,               0.756,             0.84412,             0.42536,            0.044071,           0.0070663,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.023823,           0.0046642,                   0,             0.95231,             0.75551,             0.84419,             0.42579,            0.044184,           0.0070858,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.023929,           0.0046586,                   0,             0.95317,              0.7558,             0.84501,             0.42623,            0.044292,            0.007103,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.023762,           0.0046371,                   0,             0.95396,             0.75512,             0.84572,             0.42789,            0.044357,             0.00716,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.023689,           0.0046411,                   0,             0.95604,             0.75209,             0.84581,             0.42845,            0.044421,           0.0072012,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.023702,           0.0046505,                   0,             0.95869,             0.74879,             0.84478,             0.42743,            0.044487,           0.0072478,                   0,            0.007327,            0.007327,            0.007327
                  29,             0.02365,           0.0046253,                   0,             0.95879,             0.74582,             0.84365,             0.42784,            0.044552,           0.0073171,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.023486,           0.0046124,                   0,              0.9588,             0.74164,             0.84273,             0.42774,            0.044642,           0.0073644,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.023503,           0.0046273,                   0,             0.96078,             0.74164,             0.84244,             0.42793,            0.044725,           0.0074128,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.023418,           0.0045931,                   0,             0.96306,             0.74118,             0.84289,             0.42832,            0.044799,           0.0074423,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.023344,           0.0046036,                   0,             0.96367,             0.73892,             0.84179,             0.42754,            0.044867,           0.0074563,                   0,            0.006832,            0.006832,            0.006832
                  34,             0.02337,            0.004572,                   0,             0.96434,             0.74081,             0.84279,             0.42885,            0.044855,           0.0074496,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.023188,           0.0045541,                   0,             0.96574,             0.74048,             0.84283,             0.42846,            0.044942,           0.0074763,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.023222,           0.0045605,                   0,             0.96649,             0.73886,             0.84172,             0.42785,            0.045032,           0.0074998,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.023092,           0.0045525,                   0,             0.96642,              0.7349,              0.8399,             0.42742,            0.045163,           0.0075628,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.023065,           0.0045457,                   0,             0.96689,             0.73202,              0.8369,             0.42681,            0.045276,           0.0076369,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.023011,           0.0045416,                   0,              0.9679,             0.72934,             0.83594,             0.42705,            0.045353,           0.0077016,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.022966,           0.0045248,                   0,             0.96708,             0.73004,             0.83615,             0.42716,            0.045389,           0.0076819,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.022902,           0.0045315,                   0,              0.9668,             0.73008,             0.83619,             0.42727,            0.045398,           0.0076689,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022791,           0.0044957,                   0,             0.96678,             0.72959,             0.83468,             0.42591,            0.045433,           0.0077127,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.022683,           0.0044965,                   0,             0.96791,             0.72822,             0.83396,             0.42454,            0.045491,           0.0077471,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022706,           0.0044975,                   0,             0.96991,             0.72579,             0.83201,             0.42375,            0.045543,           0.0077747,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.022586,           0.0044935,                   0,             0.96869,             0.72526,             0.83269,             0.42337,            0.045651,           0.0078021,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.022626,           0.0044813,                   0,             0.96894,             0.72406,             0.83148,              0.4216,            0.045775,           0.0078198,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.022437,            0.004468,                   0,             0.97125,              0.7214,             0.83027,             0.42091,            0.045896,           0.0078605,                   0,            0.005446,            0.005446,            0.005446
