               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073277,            0.010649,                   0,             0.47904,             0.45229,             0.35565,             0.07953,            0.062635,           0.0083654,                   0,             0.07005,           0.0033278,           0.0033278
                   1,            0.049809,           0.0070563,                   0,             0.94897,             0.85791,             0.91698,             0.43286,            0.042404,           0.0058769,                   0,            0.039918,           0.0065293,           0.0065293
                   2,            0.044678,           0.0054717,                   0,             0.95972,             0.80984,             0.88165,              0.3657,            0.045686,           0.0057328,                   0,           0.0096539,           0.0095987,           0.0095987
                   3,            0.040219,           0.0049069,                   0,             0.91107,             0.85866,             0.91881,              0.4529,            0.037687,           0.0054567,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.037691,           0.0045352,                   0,             0.95242,             0.84122,             0.89785,             0.33794,            0.046689,           0.0052225,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.036466,           0.0043506,                   0,             0.97079,             0.91832,             0.96135,             0.50032,            0.033513,           0.0046332,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.035619,            0.004253,                   0,             0.95193,             0.85024,             0.92027,             0.53148,            0.037059,           0.0051306,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.035056,            0.004133,                   0,             0.97961,              0.8853,             0.93615,             0.51191,            0.033987,           0.0051402,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.034666,           0.0041115,                   0,             0.96964,             0.90202,             0.95489,              0.4989,             0.03359,           0.0046707,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.034313,            0.004036,                   0,             0.98162,             0.93545,             0.96781,              0.5667,            0.031052,           0.0043913,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.033939,           0.0040278,                   0,             0.97436,              0.8911,             0.94585,             0.55723,            0.031774,            0.004897,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.033601,           0.0039922,                   0,             0.98568,             0.93638,             0.97058,             0.53885,            0.032601,           0.0044466,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.033447,           0.0039243,                   0,             0.96249,             0.91736,             0.96521,             0.56587,            0.030351,           0.0044257,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.033232,           0.0038778,                   0,              0.9814,              0.9311,              0.9672,             0.57249,            0.029729,           0.0044501,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.033045,           0.0039058,                   0,             0.98608,              0.9378,             0.96694,             0.57326,             0.02993,           0.0044339,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.032871,           0.0038331,                   0,             0.98507,             0.94987,             0.97468,             0.57175,            0.029869,           0.0042981,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.032845,           0.0038426,                   0,             0.98939,             0.95304,             0.97799,             0.57116,            0.030143,           0.0041087,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.032696,           0.0038377,                   0,             0.98022,              0.9531,             0.97876,             0.57774,             0.02976,           0.0041048,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.032445,           0.0038213,                   0,             0.98654,             0.95308,             0.97851,             0.55881,            0.030494,           0.0041275,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.032345,           0.0037862,                   0,             0.98213,             0.94938,              0.9773,             0.56639,            0.030073,           0.0041538,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.032014,           0.0037514,                   0,              0.9867,              0.9472,             0.97303,             0.56796,            0.030127,           0.0042618,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.031686,           0.0037157,                   0,             0.99032,             0.94979,             0.97874,             0.55724,            0.030543,           0.0041615,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.03174,           0.0037568,                   0,             0.98144,             0.95764,             0.97829,             0.56519,            0.030029,           0.0041329,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.031639,           0.0037255,                   0,             0.98421,             0.95523,             0.97896,              0.5732,            0.029661,           0.0040802,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.031448,           0.0036891,                   0,             0.98632,              0.9538,             0.98011,             0.56814,            0.030048,           0.0040734,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.031285,           0.0036689,                   0,             0.98818,             0.95139,             0.97924,             0.56241,            0.030267,           0.0040993,                   0,            0.005248,            0.005248,            0.005248
                  26,             0.03095,           0.0036688,                   0,             0.99018,             0.95147,             0.98013,             0.56941,            0.029921,           0.0040853,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.030833,           0.0036474,                   0,             0.98913,             0.95472,             0.97972,             0.56697,            0.030055,           0.0040697,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.030692,           0.0036153,                   0,              0.9899,             0.95589,             0.97997,             0.56485,            0.030148,           0.0040629,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.030592,           0.0036238,                   0,             0.99058,             0.95262,                0.98,             0.56953,            0.029999,           0.0040596,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.030323,           0.0035939,                   0,             0.98965,             0.95422,             0.98035,             0.56957,            0.029985,           0.0040443,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.030182,           0.0035966,                   0,             0.98876,             0.95496,             0.97981,             0.57038,            0.029963,           0.0040514,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.030075,           0.0035746,                   0,              0.9899,             0.95612,             0.98041,             0.56967,            0.030019,           0.0040318,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.029873,           0.0035588,                   0,             0.98867,             0.95496,             0.98015,             0.57046,            0.030021,           0.0040371,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.029686,           0.0035488,                   0,             0.98916,             0.95369,             0.98007,             0.56879,            0.030117,           0.0040414,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.029643,           0.0035346,                   0,             0.98918,             0.95494,             0.98042,             0.56763,            0.030146,            0.004045,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.029409,           0.0035186,                   0,             0.99059,             0.95338,             0.97979,             0.56754,            0.030178,           0.0040548,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.029261,           0.0034826,                   0,             0.99133,             0.95531,             0.97967,             0.56821,            0.030132,           0.0040541,                   0,            0.002872,            0.002872,            0.002872
