               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074981,            0.011458,                   0,             0.87643,              0.6176,             0.74273,             0.34303,            0.054405,            0.009307,                   0,             0.07005,           0.0033278,           0.0033278
                   1,            0.050106,           0.0073797,                   0,             0.93059,             0.78013,             0.86147,             0.40123,            0.047109,           0.0064203,                   0,            0.039918,           0.0065293,           0.0065293
                   2,            0.045024,             0.00566,                   0,             0.83415,             0.69017,             0.75982,             0.26621,            0.055072,             0.00652,                   0,           0.0096539,           0.0095987,           0.0095987
                   3,            0.040608,           0.0049941,                   0,             0.95225,             0.78722,             0.86712,             0.45629,            0.038494,           0.0068415,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.038175,           0.0046311,                   0,             0.94682,             0.84792,             0.91151,             0.46805,            0.037692,           0.0056229,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.036896,           0.0044308,                   0,             0.98342,             0.89227,             0.93952,             0.55413,             0.03196,           0.0054102,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.035806,           0.0042907,                   0,             0.97141,             0.89482,              0.9518,             0.55709,            0.031997,           0.0047813,                   0,             0.00901,             0.00901,             0.00901
                   7,              0.0353,           0.0042086,                   0,              0.9682,             0.85883,             0.92943,             0.50921,            0.034713,           0.0050782,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.034645,           0.0041264,                   0,             0.96137,             0.90728,             0.94551,             0.50582,            0.034401,           0.0050578,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.034338,           0.0040728,                   0,              0.9687,             0.90829,             0.95788,             0.49462,            0.034134,           0.0047248,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.033931,           0.0040653,                   0,             0.98053,             0.90049,             0.94376,             0.56065,            0.032121,           0.0051309,                   0,            0.008218,            0.008218,            0.008218
                  11,             0.03357,           0.0040258,                   0,             0.98699,             0.93358,              0.9619,              0.5554,            0.031017,           0.0046177,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.033532,           0.0039921,                   0,             0.98878,             0.92988,             0.96702,             0.56494,            0.030534,           0.0043595,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.033269,            0.003937,                   0,               0.986,             0.93229,             0.96585,             0.56246,            0.029638,           0.0044251,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.033119,           0.0039468,                   0,             0.98277,             0.94018,             0.96854,             0.56994,            0.029953,           0.0044026,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.032777,           0.0038594,                   0,             0.97928,             0.93476,             0.97016,             0.56343,            0.030232,           0.0042989,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.032832,           0.0038565,                   0,             0.97966,             0.92808,             0.96846,             0.55716,            0.031041,           0.0043452,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.032772,           0.0038719,                   0,             0.99077,              0.9538,             0.97875,               0.549,            0.030513,           0.0041562,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.032497,            0.003849,                   0,              0.9891,             0.94869,             0.97501,             0.56053,            0.030288,           0.0042235,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.032404,           0.0038067,                   0,              0.9915,             0.94826,             0.97328,             0.56607,             0.03004,           0.0042513,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.032054,           0.0037857,                   0,             0.98981,               0.947,             0.97693,             0.57818,              0.0294,           0.0041508,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.031783,           0.0037502,                   0,              0.9901,             0.95171,             0.97883,             0.57108,            0.029724,           0.0041491,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.031863,           0.0037687,                   0,              0.9899,              0.9538,             0.97611,             0.57023,            0.029843,            0.004179,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.031739,           0.0037622,                   0,             0.99318,             0.94637,             0.97289,             0.57469,            0.029702,           0.0042269,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.03159,           0.0037111,                   0,             0.99002,             0.95519,             0.97485,             0.57191,            0.029712,            0.004174,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.031414,           0.0036783,                   0,             0.98773,             0.95264,             0.97405,             0.56786,            0.029978,           0.0041954,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.031058,           0.0036755,                   0,             0.98461,             0.95449,             0.97394,             0.57236,            0.029826,            0.004179,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.030968,           0.0036663,                   0,             0.98621,             0.95449,             0.97435,             0.56924,            0.029943,           0.0041755,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.030934,           0.0036345,                   0,             0.98598,             0.95147,             0.97521,             0.56931,            0.029998,           0.0041783,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.030835,           0.0036325,                   0,             0.98904,             0.95055,              0.9765,             0.57292,             0.02989,           0.0041694,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.030553,           0.0036063,                   0,             0.99055,             0.94942,             0.97611,             0.57355,            0.029896,           0.0041603,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.030406,           0.0036129,                   0,             0.98559,             0.95612,             0.97892,             0.57549,            0.029817,           0.0041283,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.030271,           0.0035794,                   0,             0.98479,             0.95681,             0.97922,             0.57671,            0.029696,           0.0041201,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.030103,           0.0035741,                   0,             0.98313,             0.95751,             0.97895,             0.57677,            0.029666,           0.0041233,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.029889,           0.0035613,                   0,             0.98565,              0.9571,             0.97901,              0.5764,             0.02966,            0.004117,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.029777,           0.0035545,                   0,             0.98628,             0.95658,             0.97878,             0.57591,            0.029682,           0.0041154,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.029601,           0.0035506,                   0,               0.987,             0.95496,             0.97906,              0.5759,            0.029688,           0.0041159,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.029373,           0.0035114,                   0,             0.98704,             0.95517,             0.97899,             0.57556,            0.029672,           0.0041207,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.028992,           0.0034899,                   0,             0.98944,             0.95264,             0.97878,             0.57487,            0.029651,           0.0041256,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.028875,           0.0034617,                   0,             0.98839,             0.95287,             0.97863,             0.57555,            0.029631,           0.0041326,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.028703,           0.0034433,                   0,             0.98792,              0.9531,              0.9786,             0.57562,            0.029622,            0.004133,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.028406,           0.0034316,                   0,             0.98844,             0.95309,             0.97863,             0.57591,            0.029603,           0.0041337,                   0,             0.00208,             0.00208,             0.00208
                  42,             0.02819,            0.003412,                   0,             0.98702,             0.95328,             0.97874,             0.57729,            0.029577,           0.0041339,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.028029,           0.0033784,                   0,             0.98703,             0.95423,             0.97883,             0.57665,            0.029612,           0.0041462,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.027852,           0.0033739,                   0,             0.98583,             0.95317,             0.97782,             0.57631,             0.02964,           0.0041598,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.027648,           0.0033656,                   0,             0.98981,             0.94846,             0.97699,             0.57646,            0.029652,           0.0041717,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.027446,           0.0033312,                   0,             0.98858,             0.94985,             0.97642,             0.57644,            0.029678,           0.0041819,                   0,             0.00109,             0.00109,             0.00109
                  47,             0.02714,           0.0032768,                   0,             0.98816,             0.94931,             0.97537,             0.57621,             0.02974,            0.004197,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.027088,           0.0032712,                   0,             0.98933,             0.94758,             0.97546,             0.57535,            0.029792,           0.0042032,                   0,            0.000694,            0.000694,            0.000694
