               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072428,            0.010475,                   0,             0.61194,             0.61203,             0.60368,              0.2006,            0.058652,           0.0076896,                   0,            0.070025,           0.0033306,           0.0033306
                   1,            0.049026,           0.0063271,                   0,             0.88091,              0.8364,             0.89526,             0.39921,            0.045762,           0.0055377,                   0,            0.039893,            0.006532,            0.006532
                   2,             0.04226,            0.005049,                   0,             0.88582,             0.61087,               0.732,             0.33041,            0.049221,           0.0076347,                   0,            0.009629,           0.0096013,           0.0096013
                   3,            0.038621,           0.0045989,                   0,             0.95452,             0.83817,             0.91344,             0.52698,            0.034717,           0.0057514,                   0,            0.009406,            0.009406,            0.009406
                   4,             0.03694,           0.0043701,                   0,             0.98377,             0.90968,             0.95947,             0.48973,            0.034626,           0.0046852,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.035981,           0.0042274,                   0,             0.97918,             0.93127,             0.96524,             0.47729,            0.035091,           0.0044891,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.035263,            0.004124,                   0,             0.98337,             0.91985,              0.9604,              0.5179,            0.032887,           0.0047362,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.034755,           0.0040519,                   0,             0.99073,             0.93035,               0.966,             0.52765,            0.032143,           0.0044817,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.034065,           0.0039938,                   0,              0.9868,             0.93685,             0.97209,             0.50445,            0.033224,           0.0043438,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.033786,           0.0039582,                   0,             0.98931,             0.94536,             0.97528,             0.52705,            0.032227,           0.0042368,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.033266,           0.0038924,                   0,             0.98586,             0.93891,             0.96888,             0.52479,            0.032083,           0.0044718,                   0,            0.008218,            0.008218,            0.008218
