               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0754,            0.011424,                   0,             0.68234,             0.48108,             0.51732,             0.14803,            0.065015,           0.0086458,                   0,             0.07005,           0.0033278,           0.0033278
                   1,            0.052376,           0.0075306,                   0,             0.81123,             0.67495,             0.75254,             0.24055,            0.055563,           0.0069447,                   0,            0.039918,           0.0065293,           0.0065293
                   2,            0.045915,           0.0056966,                   0,             0.32082,             0.24425,              0.2035,            0.094986,            0.073824,            0.014002,                   0,           0.0096539,           0.0095987,           0.0095987
                   3,            0.040386,           0.0049655,                   0,              0.9289,              0.8449,             0.90454,             0.45253,            0.039867,           0.0058036,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.037968,           0.0046394,                   0,             0.98506,              0.8724,             0.92472,             0.48432,            0.034367,            0.005194,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.036581,           0.0044416,                   0,             0.98583,             0.88298,             0.92799,             0.53096,            0.033897,           0.0051814,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.035586,           0.0043443,                   0,             0.97843,             0.90109,             0.94816,             0.52954,            0.033181,            0.005017,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.035063,           0.0042178,                   0,             0.97657,             0.89038,             0.94158,             0.53177,            0.034369,           0.0049532,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.034454,           0.0041262,                   0,             0.96008,             0.88223,             0.94643,             0.50567,            0.035637,           0.0049723,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.034267,            0.004096,                   0,             0.96933,             0.90995,             0.96337,             0.56464,            0.032386,           0.0050828,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.033914,           0.0040503,                   0,             0.97489,             0.86541,             0.93159,             0.54685,             0.03368,           0.0050505,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.033723,           0.0039932,                   0,             0.97971,             0.90831,             0.95689,             0.56299,             0.03079,           0.0046855,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.033572,           0.0039564,                   0,             0.97899,             0.91711,             0.96007,             0.55908,             0.03082,           0.0045517,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.03336,           0.0039357,                   0,             0.97849,             0.92942,             0.96442,             0.57399,            0.030204,           0.0044781,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.033197,           0.0039345,                   0,             0.98359,             0.93824,             0.96911,             0.56181,            0.030833,           0.0043848,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.03273,           0.0038569,                   0,             0.99045,             0.94265,             0.97451,             0.57584,            0.029439,           0.0041937,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.032655,            0.003841,                   0,             0.99131,             0.92724,             0.96826,             0.57516,            0.030278,           0.0044163,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.032549,           0.0038382,                   0,             0.98951,             0.94138,             0.96958,             0.56717,            0.030479,           0.0043234,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.032385,             0.00383,                   0,             0.99253,             0.94312,              0.9739,             0.52884,            0.032225,            0.004247,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.032099,           0.0038045,                   0,             0.98266,             0.93638,             0.97459,             0.54963,             0.03119,           0.0042471,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.03203,           0.0037908,                   0,             0.98955,             0.94558,             0.97748,             0.57561,            0.029801,           0.0041673,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.032201,           0.0037784,                   0,             0.99035,             0.94869,             0.97674,             0.57487,             0.02987,           0.0041413,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.03178,           0.0037586,                   0,              0.9931,             0.93618,             0.96417,              0.5695,            0.029892,           0.0041779,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.031375,           0.0037226,                   0,             0.99416,             0.94812,             0.97722,             0.57701,             0.02986,           0.0041626,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.031545,           0.0037335,                   0,             0.99142,             0.94613,             0.97719,             0.58045,            0.029748,           0.0041458,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.031384,           0.0036985,                   0,             0.99218,             0.94258,             0.97718,             0.57835,            0.029765,           0.0041514,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.031182,           0.0037097,                   0,             0.99026,             0.94434,             0.97622,             0.57857,            0.029831,           0.0041575,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.030899,           0.0036693,                   0,             0.99163,              0.9459,             0.97718,             0.57504,            0.029843,           0.0041433,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.030756,           0.0036761,                   0,             0.98635,             0.94869,             0.97666,             0.57634,            0.029888,           0.0041469,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.030643,           0.0036526,                   0,             0.98764,             0.94589,             0.97637,             0.57623,            0.029943,           0.0041576,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.030415,           0.0036221,                   0,             0.98612,             0.94381,             0.97631,              0.5744,            0.030035,           0.0041659,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.030191,            0.003593,                   0,             0.98453,              0.9459,              0.9767,             0.57448,             0.03007,           0.0041632,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.030169,           0.0035907,                   0,             0.98619,             0.94532,             0.97693,             0.57406,            0.030103,           0.0041573,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.029922,           0.0035927,                   0,             0.98752,             0.94497,             0.97727,             0.57421,            0.030101,           0.0041521,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.029619,           0.0035393,                   0,             0.98903,             0.94567,             0.97708,             0.57269,             0.03016,            0.004167,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.029836,           0.0035479,                   0,             0.98804,             0.94613,             0.97689,             0.57179,             0.03017,           0.0041671,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.029393,           0.0035474,                   0,             0.98883,             0.94613,             0.97629,             0.56997,             0.03027,           0.0041813,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.029229,           0.0035059,                   0,             0.98855,             0.90206,             0.93419,             0.54269,            0.030337,            0.004188,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.029012,           0.0034931,                   0,             0.98874,             0.94613,             0.97624,             0.56733,            0.030382,           0.0041878,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.028953,           0.0034755,                   0,             0.98727,              0.9367,              0.9665,             0.56215,            0.030389,           0.0041919,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.028881,           0.0034788,                   0,             0.98693,             0.94651,              0.9753,             0.56592,            0.030429,            0.004192,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.028363,           0.0034314,                   0,               0.986,             0.94544,             0.97485,             0.56435,            0.030527,           0.0041962,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.028307,           0.0034119,                   0,             0.98917,             0.94195,             0.97575,             0.56441,            0.030521,           0.0041926,                   0,            0.001882,            0.001882,            0.001882
