               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070179,            0.010358,                   0,             0.97392,              0.7323,               0.872,              0.4429,            0.045414,           0.0083639,                   0,            0.070025,           0.0033306,           0.0033306
                   1,            0.048881,           0.0065787,                   0,             0.94079,             0.82563,              0.9053,             0.48382,            0.041262,           0.0058718,                   0,            0.039893,            0.006532,            0.006532
                   2,            0.042695,           0.0053513,                   0,             0.92007,             0.80775,             0.88379,             0.48336,            0.042054,            0.008834,                   0,            0.009629,           0.0096013,           0.0096013
                   3,             0.03915,           0.0048822,                   0,             0.96589,             0.88136,             0.94295,             0.50525,            0.034429,            0.005088,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.037164,           0.0045476,                   0,             0.98318,             0.90573,             0.95384,             0.50587,            0.034463,           0.0046821,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.036278,           0.0043946,                   0,             0.97924,             0.91985,               0.968,              0.4773,            0.034935,           0.0044912,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.035602,           0.0042736,                   0,             0.97815,             0.90433,             0.95538,             0.54812,            0.031037,           0.0047431,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.035172,           0.0041985,                   0,             0.98648,             0.92663,             0.97299,             0.54662,            0.030961,           0.0042866,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.034732,           0.0041725,                   0,             0.98625,             0.94265,             0.97001,             0.55969,            0.030861,           0.0043094,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.034261,           0.0040765,                   0,             0.98338,              0.9329,             0.97012,             0.54691,            0.031467,           0.0043323,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.034106,           0.0040875,                   0,             0.98712,             0.94126,             0.97018,             0.56118,             0.03085,           0.0043476,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.033718,           0.0040315,                   0,             0.98969,             0.93601,             0.97061,             0.56466,            0.030552,           0.0042846,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.033511,           0.0039412,                   0,             0.98765,             0.92857,             0.97011,             0.55843,            0.030687,           0.0043224,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.033436,           0.0039283,                   0,             0.98953,             0.93638,             0.97078,             0.56525,            0.030184,           0.0042626,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.033147,           0.0039191,                   0,              0.9917,             0.94103,              0.9728,             0.56882,            0.029933,           0.0042047,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.03304,            0.003919,                   0,             0.99201,             0.94288,             0.97517,              0.5738,            0.029578,           0.0041766,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.033148,           0.0039095,                   0,             0.99209,             0.94567,             0.97699,             0.57893,            0.029344,           0.0041437,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.03284,           0.0038534,                   0,             0.99177,             0.94915,             0.97716,             0.58025,             0.02929,           0.0041397,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.032695,           0.0038781,                   0,             0.99076,             0.94915,             0.97733,             0.57951,            0.029326,           0.0041405,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.032569,           0.0038353,                   0,             0.98817,             0.95014,             0.97791,             0.57927,            0.029343,           0.0041346,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.032375,           0.0038069,                   0,              0.9892,             0.95031,             0.97783,             0.57849,             0.02941,           0.0041404,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.032131,           0.0037966,                   0,             0.98736,             0.95055,             0.97649,             0.57322,              0.0296,           0.0041545,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.032018,           0.0037959,                   0,             0.99015,             0.94822,             0.97684,              0.5706,            0.029714,           0.0041608,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.031966,           0.0037914,                   0,             0.98907,             0.94822,             0.97514,             0.57063,            0.029754,           0.0041833,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.031911,           0.0037719,                   0,             0.98935,             0.94874,             0.97448,             0.56981,            0.029824,           0.0041858,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.031712,           0.0037483,                   0,             0.99062,             0.94892,             0.97301,             0.56952,            0.029898,           0.0041849,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.031346,           0.0037176,                   0,             0.98912,             0.94989,              0.9743,             0.56951,            0.029864,           0.0041723,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.031141,           0.0036893,                   0,              0.9876,             0.95264,             0.97576,              0.5701,            0.029881,           0.0041666,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.031141,            0.003677,                   0,               0.988,             0.95171,             0.97552,             0.57095,            0.029889,           0.0041646,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.031022,           0.0036755,                   0,             0.98986,             0.95158,             0.97737,             0.56988,            0.029907,           0.0041394,                   0,            0.004456,            0.004456,            0.004456
