               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11894,            0.020015,                   0,          0.00023889,            0.072111,          0.00012807,          3.9317e-05,             0.11293,            0.012877,                   0,            0.070526,           0.0032749,           0.0032749
                   1,            0.073645,           0.0085948,                   0,           0.0020583,             0.62133,           0.0021805,          0.00074168,            0.070889,             0.02217,                   0,            0.040461,           0.0065428,           0.0065428
                   2,             0.06122,           0.0074441,                   0,           0.0027639,             0.83431,             0.24035,             0.05166,             0.06796,             0.02174,                   0,            0.010329,           0.0097447,           0.0097447
                   3,            0.053025,           0.0068425,                   0,              0.0209,             0.17038,            0.019544,           0.0071626,            0.066206,            0.020998,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.047005,           0.0054746,                   0,             0.71622,             0.56817,             0.58063,             0.22753,            0.057081,            0.014375,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.044138,           0.0043518,                   0,             0.73781,             0.53362,             0.53935,               0.197,            0.075722,            0.012135,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.040878,           0.0039091,                   0,             0.88635,             0.69452,             0.75236,             0.34262,            0.052588,            0.012018,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.039291,           0.0034889,                   0,              0.7995,             0.66124,             0.70407,             0.32502,            0.049676,            0.011938,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.036107,           0.0032926,                   0,             0.58999,             0.51652,             0.41979,             0.12282,             0.05747,           0.0098993,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.035936,           0.0030517,                   0,             0.80937,             0.67071,              0.7431,             0.37031,            0.048259,             0.01128,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.033862,           0.0029577,                   0,             0.92074,             0.71474,             0.76873,             0.37255,            0.047724,            0.010921,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033231,           0.0027597,                   0,             0.88977,             0.71373,             0.77577,             0.37682,            0.045605,            0.010849,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.031729,           0.0026105,                   0,             0.91302,             0.67718,             0.76201,             0.34915,            0.054869,            0.013755,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.030746,           0.0025514,                   0,              0.9197,             0.69982,             0.76404,             0.38533,            0.048331,            0.011942,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.030809,           0.0024515,                   0,              0.8615,             0.53929,             0.65984,             0.31571,            0.050081,            0.013682,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.030894,           0.0025154,                   0,             0.83697,             0.72346,              0.7659,             0.36745,            0.046332,            0.010799,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.029381,           0.0023981,                   0,             0.89748,             0.67013,             0.73149,             0.36508,            0.047754,            0.011152,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.029404,           0.0022998,                   0,             0.84969,             0.73279,             0.76335,             0.36951,            0.046291,            0.010983,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.028789,           0.0023661,                   0,             0.90281,             0.68386,             0.75327,              0.3536,            0.052374,            0.010043,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.028422,           0.0022301,                   0,             0.85743,             0.63239,             0.70856,             0.33125,             0.04733,            0.010819,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.027946,           0.0021947,                   0,             0.89723,             0.69613,             0.78155,             0.39899,            0.044717,             0.01197,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.027506,           0.0021534,                   0,             0.92354,             0.68462,             0.76194,             0.37626,            0.046009,            0.011588,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.027161,           0.0021569,                   0,             0.90746,             0.73436,             0.78811,             0.40037,            0.046059,            0.010155,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.027557,           0.0021697,                   0,             0.93513,             0.73495,             0.79504,             0.39691,            0.046715,            0.012022,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.027113,            0.002087,                   0,             0.88231,              0.6272,              0.7033,             0.35459,            0.048488,            0.011657,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.026882,           0.0020408,                   0,             0.87851,             0.70132,             0.77277,              0.3719,            0.045227,            0.011101,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.026001,           0.0020037,                   0,             0.90323,             0.73256,             0.80658,             0.40064,            0.044093,           0.0098166,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.026018,           0.0020048,                   0,             0.91872,             0.69093,             0.75551,             0.39214,            0.044937,            0.010549,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.025468,           0.0020196,                   0,             0.89236,             0.68875,             0.77232,               0.402,            0.043409,            0.010708,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.025843,           0.0020113,                   0,             0.84828,             0.60154,             0.67987,             0.34051,            0.050012,            0.012802,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.025092,           0.0019432,                   0,             0.81953,             0.70214,              0.7421,             0.35568,            0.046749,           0.0099301,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.025199,           0.0019766,                   0,             0.94666,             0.77562,             0.82461,             0.40089,            0.043781,             0.01005,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.024546,           0.0019803,                   0,             0.91427,             0.73973,             0.80414,             0.39905,            0.044556,           0.0098447,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.025284,           0.0019203,                   0,             0.91715,             0.72413,             0.80698,             0.39374,            0.043768,           0.0098788,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.024513,           0.0018758,                   0,             0.91182,             0.74392,             0.80872,             0.38675,             0.04603,            0.010279,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.024742,           0.0018665,                   0,             0.92896,             0.74845,             0.81093,             0.41069,            0.044866,           0.0097127,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.024238,           0.0018756,                   0,             0.90874,             0.71969,             0.78511,             0.40846,            0.043397,           0.0099971,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.024183,           0.0019201,                   0,             0.94606,             0.74945,             0.81023,             0.39763,            0.045517,           0.0098171,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.023903,           0.0018759,                   0,             0.83582,             0.53748,             0.59801,             0.30489,            0.050253,            0.014038,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.023733,           0.0018863,                   0,               0.952,             0.77645,             0.83434,             0.42396,            0.042908,           0.0090385,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.023855,           0.0018454,                   0,             0.90843,             0.72866,              0.7895,             0.38658,             0.04485,            0.010332,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.023756,           0.0018329,                   0,             0.90156,             0.73201,             0.78957,             0.39347,            0.044133,           0.0097802,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.023218,           0.0018172,                   0,             0.91784,             0.75616,             0.81132,             0.40962,            0.043753,           0.0099076,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.023251,           0.0018614,                   0,             0.85412,             0.70599,             0.77644,             0.39641,            0.044254,            0.010482,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022624,           0.0018036,                   0,             0.94218,             0.76036,               0.825,             0.42286,            0.043654,           0.0099371,                   0,            0.005743,            0.005743,            0.005743
