               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076822,           0.0060105,                   0,             0.94539,             0.74727,             0.82575,             0.33757,            0.035949,           0.0086698,                   0,            0.070016,           0.0033316,           0.0033316
                   1,            0.048078,           0.0031545,                   0,             0.79561,             0.41845,             0.57068,              0.2674,             0.03898,           0.0088989,                   0,             0.03995,           0.0065989,           0.0065989
                   2,            0.044156,           0.0026564,                   0,             0.64274,             0.47489,             0.54361,             0.22436,            0.040096,           0.0077765,                   0,           0.0098178,           0.0098003,           0.0098003
                   3,            0.040386,           0.0024324,                   0,             0.92156,             0.65906,             0.76106,             0.40003,            0.033134,           0.0069129,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.037141,           0.0022662,                   0,             0.96526,              0.7874,             0.86008,             0.39917,            0.029831,           0.0056791,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.035288,           0.0021589,                   0,              0.9554,              0.7082,             0.82339,             0.42442,            0.029224,           0.0060727,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.034237,           0.0020782,                   0,             0.97037,             0.76891,             0.86306,             0.45477,            0.028186,           0.0054067,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.033238,           0.0020115,                   0,             0.97947,               0.824,             0.89029,             0.46632,            0.026592,           0.0050024,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.033091,           0.0020009,                   0,             0.97659,             0.82224,             0.88829,             0.46753,            0.026389,           0.0050527,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.032611,           0.0019527,                   0,             0.98367,             0.82832,             0.89295,             0.48126,            0.026096,           0.0048519,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.032371,           0.0019262,                   0,             0.98383,             0.82492,             0.89287,             0.48796,            0.026109,            0.004856,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.031522,           0.0018996,                   0,             0.97103,             0.78769,             0.87508,             0.46731,            0.026227,           0.0053459,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.03163,           0.0018847,                   0,             0.97193,             0.79272,             0.88362,              0.4696,            0.025725,           0.0052741,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.031416,           0.0018809,                   0,             0.97758,             0.81152,             0.89287,             0.48889,            0.025196,           0.0049824,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.030977,           0.0018525,                   0,             0.97888,             0.83381,             0.89844,             0.49148,            0.024995,           0.0048418,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.030837,           0.0018415,                   0,             0.98591,             0.83286,             0.90244,             0.49535,            0.024913,           0.0047648,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.030431,            0.001834,                   0,             0.98289,             0.82878,             0.90223,             0.49492,            0.024895,           0.0048126,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.030509,           0.0018184,                   0,             0.97606,             0.80547,             0.89387,             0.49008,            0.025228,           0.0049872,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.030249,           0.0018016,                   0,             0.97907,             0.83171,             0.90508,             0.49349,            0.024991,            0.004785,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.02989,           0.0018151,                   0,             0.97964,             0.83912,             0.90831,             0.49404,            0.024974,           0.0047386,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.029985,           0.0018179,                   0,             0.97989,             0.84538,             0.91138,             0.49496,            0.024946,           0.0046846,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.029967,           0.0017928,                   0,             0.98248,             0.84538,             0.91232,             0.49601,             0.02485,           0.0046764,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.029655,           0.0017912,                   0,             0.98106,             0.84655,             0.91346,             0.49716,            0.024749,            0.004671,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.029954,           0.0017935,                   0,             0.98064,             0.85091,             0.91595,             0.50001,            0.024613,           0.0046274,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.029639,           0.0017818,                   0,             0.98089,             0.86056,              0.9212,             0.50291,            0.024533,           0.0045262,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.029281,           0.0017635,                   0,             0.97813,             0.87087,             0.92452,             0.50267,            0.024497,           0.0044581,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.029057,           0.0017673,                   0,             0.97625,             0.87527,             0.92749,             0.50345,            0.024501,           0.0044098,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.029147,            0.001744,                   0,             0.97542,             0.87856,             0.92915,             0.50281,            0.024512,           0.0043809,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.028866,           0.0017593,                   0,             0.97478,             0.88139,             0.93046,             0.50371,            0.024489,           0.0043524,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.028987,           0.0017529,                   0,             0.97244,             0.88496,             0.93291,             0.50553,            0.024446,            0.004312,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.02907,           0.0017515,                   0,             0.97143,              0.8863,             0.93333,             0.50509,            0.024473,           0.0043018,                   0,            0.007129,            0.007129,            0.007129
