               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067051,           0.0077351,                   0,             0.96151,             0.81838,             0.87544,             0.36984,            0.042878,            0.010177,                   0,            0.070016,           0.0033316,           0.0033316
                   1,            0.044233,           0.0037166,                   0,             0.96237,             0.83634,             0.89595,             0.41756,            0.036717,           0.0081163,                   0,            0.039884,           0.0065329,           0.0065329
                   2,            0.040446,           0.0030584,                   0,             0.97159,             0.77419,             0.83666,             0.43938,            0.040106,           0.0082107,                   0,           0.0096199,           0.0096023,           0.0096023
                   3,            0.036826,           0.0027748,                   0,             0.96946,             0.86232,             0.90618,             0.47067,            0.034182,           0.0072119,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.034793,           0.0025747,                   0,             0.95128,             0.86886,             0.92063,              0.4345,            0.036307,            0.006764,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.033362,           0.0024776,                   0,             0.97231,             0.88932,             0.93168,             0.49473,            0.031743,           0.0063143,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.032528,           0.0023969,                   0,              0.9674,             0.89579,             0.93629,             0.50477,            0.031162,           0.0063455,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.032008,           0.0023644,                   0,             0.96317,             0.89026,             0.93793,             0.51184,            0.031444,           0.0063259,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.031456,           0.0023226,                   0,             0.96658,             0.89385,             0.93992,             0.50638,            0.030998,           0.0062682,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.031275,           0.0022928,                   0,              0.9747,             0.90173,             0.93974,             0.49757,             0.03127,            0.006212,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.031053,           0.0022715,                   0,             0.97359,             0.89626,             0.94471,             0.50087,             0.03145,           0.0061224,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.030701,           0.0022475,                   0,             0.97281,             0.89397,             0.94185,             0.51114,             0.03085,           0.0061337,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.030475,           0.0022215,                   0,             0.97356,              0.9034,             0.94619,             0.50624,            0.030776,           0.0060885,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.030278,           0.0022043,                   0,             0.96732,             0.89349,             0.94057,             0.50614,            0.031002,           0.0062523,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.030015,           0.0021747,                   0,             0.96744,             0.89016,             0.93893,             0.50626,            0.031234,            0.006253,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.029885,           0.0021719,                   0,             0.95996,             0.90068,             0.94014,             0.50468,            0.031241,           0.0062007,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.029635,           0.0021652,                   0,             0.96825,              0.8972,             0.94159,             0.50285,            0.031121,           0.0061512,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.029512,           0.0021593,                   0,             0.97393,             0.89596,             0.94325,             0.50082,            0.031224,            0.006089,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.029401,            0.002141,                   0,             0.97548,             0.89301,             0.94146,              0.5011,             0.03128,           0.0061081,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.029195,           0.0021284,                   0,             0.97351,             0.89373,             0.94027,             0.50178,            0.031305,           0.0061243,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.029034,           0.0021284,                   0,             0.97088,             0.89787,             0.94161,             0.50398,            0.031246,           0.0060842,                   0,            0.006238,            0.006238,            0.006238
