               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07165,           0.0089374,                   0,             0.93706,             0.71273,             0.84039,             0.39128,            0.045461,             0.01593,                   0,            0.070032,           0.0033298,           0.0033298
                   1,            0.045677,           0.0045188,                   0,              0.9324,             0.75314,             0.85063,             0.40293,            0.042813,           0.0092183,                   0,            0.040031,           0.0066624,           0.0066624
                   2,            0.040708,           0.0031566,                   0,             0.98996,             0.80413,              0.8558,             0.42823,            0.041836,           0.0083278,                   0,            0.010027,           0.0099922,           0.0099922
                   3,            0.036976,           0.0027959,                   0,             0.96915,               0.827,             0.90694,              0.4916,            0.036713,           0.0073721,                   0,           0.0099902,           0.0099902,           0.0099902
                   4,            0.034449,           0.0025661,                   0,             0.91235,             0.82526,             0.89969,             0.46014,            0.036629,           0.0072456,                   0,           0.0099902,           0.0099902,           0.0099902
                   5,            0.033486,           0.0024813,                   0,             0.96597,             0.85678,             0.91018,              0.4831,            0.034722,           0.0068552,                   0,           0.0099826,           0.0099826,           0.0099826
                   6,            0.032803,           0.0024076,                   0,             0.97114,             0.88429,             0.92689,             0.45661,            0.036142,            0.007117,                   0,           0.0099729,           0.0099729,           0.0099729
                   7,             0.03225,           0.0023628,                   0,             0.97496,             0.89049,             0.93956,               0.489,            0.033863,           0.0061878,                   0,            0.009961,            0.009961,            0.009961
                   8,            0.031922,           0.0023469,                   0,             0.96628,             0.89016,             0.93638,             0.48914,            0.034034,           0.0063114,                   0,           0.0099469,           0.0099469,           0.0099469
                   9,            0.031601,           0.0023067,                   0,             0.95863,             0.89317,             0.93957,             0.48469,            0.032991,           0.0061031,                   0,           0.0099307,           0.0099307,           0.0099307
                  10,            0.031445,           0.0022881,                   0,             0.96594,             0.89753,              0.9416,             0.49044,            0.033192,           0.0061451,                   0,           0.0099123,           0.0099123,           0.0099123
                  11,            0.031233,           0.0022765,                   0,             0.96916,             0.90223,             0.94168,             0.47915,            0.033134,           0.0060731,                   0,           0.0098918,           0.0098918,           0.0098918
                  12,            0.030991,           0.0022479,                   0,             0.97489,             0.89586,             0.94035,             0.48929,            0.032585,           0.0060571,                   0,           0.0098692,           0.0098692,           0.0098692
                  13,            0.030761,           0.0022248,                   0,             0.97167,             0.90294,              0.9428,             0.48666,            0.032751,           0.0060047,                   0,           0.0098445,           0.0098445,           0.0098445
                  14,             0.03086,           0.0022392,                   0,             0.96749,             0.91548,             0.94603,             0.48765,            0.032743,           0.0059235,                   0,           0.0098177,           0.0098177,           0.0098177
                  15,            0.030603,           0.0022202,                   0,             0.96843,              0.9106,             0.94617,             0.48748,            0.032579,           0.0059858,                   0,           0.0097887,           0.0097887,           0.0097887
                  16,            0.030552,           0.0022162,                   0,             0.97269,             0.91389,             0.94752,             0.48743,            0.032436,           0.0059007,                   0,           0.0097577,           0.0097577,           0.0097577
                  17,            0.030534,           0.0022248,                   0,             0.97238,              0.9133,             0.94505,             0.48686,            0.032592,           0.0059253,                   0,           0.0097247,           0.0097247,           0.0097247
                  18,            0.030449,             0.00221,                   0,             0.97259,             0.91055,             0.94677,             0.48694,            0.032483,           0.0059108,                   0,           0.0096895,           0.0096895,           0.0096895
                  19,             0.03038,           0.0022054,                   0,             0.97181,             0.90844,             0.94589,             0.48723,             0.03256,           0.0059272,                   0,           0.0096524,           0.0096524,           0.0096524
                  20,            0.030193,           0.0022062,                   0,             0.97142,             0.90994,             0.94499,             0.48542,            0.032702,           0.0059419,                   0,           0.0096132,           0.0096132,           0.0096132
                  21,             0.03015,           0.0021943,                   0,             0.96735,             0.91011,             0.94356,             0.48189,            0.032879,           0.0059686,                   0,           0.0095721,           0.0095721,           0.0095721
                  22,            0.030149,           0.0021927,                   0,             0.96551,             0.91086,             0.94281,             0.48188,            0.032967,           0.0060029,                   0,           0.0095289,           0.0095289,           0.0095289
