               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072772,           0.0068245,                   0,             0.00315,             0.95086,             0.64931,             0.20236,            0.051479,            0.014543,                   0,            0.070032,           0.0033298,           0.0033298
                   1,            0.047293,           0.0039105,                   0,              0.9829,             0.73271,             0.83051,             0.36857,             0.04584,            0.008495,                   0,            0.040031,           0.0066625,           0.0066625
                   2,            0.042546,           0.0026916,                   0,             0.66405,             0.46571,             0.52517,             0.23258,            0.061532,           0.0095886,                   0,            0.010028,           0.0099925,           0.0099925
                   3,            0.039113,           0.0022787,                   0,             0.96983,             0.83163,              0.8897,              0.4636,            0.037659,           0.0053587,                   0,           0.0099911,           0.0099911,           0.0099911
                   4,            0.036583,           0.0020198,                   0,             0.96629,             0.87012,             0.92511,             0.39534,            0.038228,           0.0048023,                   0,           0.0099911,           0.0099911,           0.0099911
                   5,            0.035597,           0.0019291,                   0,             0.97907,             0.86601,             0.91645,              0.4656,            0.034919,           0.0050442,                   0,           0.0099842,           0.0099842,           0.0099842
                   6,            0.034865,            0.001852,                   0,             0.97622,             0.88122,             0.92893,             0.45755,            0.035026,            0.004728,                   0,           0.0099753,           0.0099753,           0.0099753
                   7,            0.034127,           0.0017922,                   0,             0.96562,             0.83372,              0.9175,              0.4937,            0.033639,           0.0053275,                   0,           0.0099645,           0.0099645,           0.0099645
                   8,            0.033971,            0.001779,                   0,             0.95328,             0.86221,             0.92701,             0.49411,            0.033912,            0.004794,                   0,           0.0099517,           0.0099517,           0.0099517
                   9,            0.033573,           0.0017358,                   0,             0.97324,             0.87844,             0.93083,             0.49643,            0.033309,            0.004652,                   0,            0.009937,            0.009937,            0.009937
                  10,            0.033448,           0.0017154,                   0,             0.96949,             0.89099,             0.93558,              0.4917,            0.033173,           0.0046264,                   0,           0.0099203,           0.0099203,           0.0099203
                  11,            0.033078,           0.0017151,                   0,             0.97186,             0.89786,             0.94045,             0.49815,            0.033182,           0.0045818,                   0,           0.0099017,           0.0099017,           0.0099017
                  12,            0.032855,           0.0016726,                   0,             0.97092,             0.88982,             0.93285,              0.4941,            0.033122,           0.0046213,                   0,           0.0098811,           0.0098811,           0.0098811
                  13,            0.032777,           0.0016679,                   0,             0.96943,             0.89871,              0.9418,             0.50087,            0.032788,           0.0044454,                   0,           0.0098586,           0.0098586,           0.0098586
