               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063484,            0.010965,                   0,             0.90984,             0.74967,             0.83755,             0.37754,            0.042007,            0.017611,                   0,            0.070028,           0.0033303,           0.0033303
                   1,            0.043409,           0.0049436,                   0,             0.89918,             0.83045,             0.89254,             0.40905,            0.041726,            0.010869,                   0,            0.040027,           0.0066629,           0.0066629
                   2,            0.039829,           0.0039066,                   0,              0.9514,             0.77495,             0.86037,             0.34718,            0.043128,             0.01237,                   0,            0.010023,           0.0099926,           0.0099926
                   3,            0.037211,           0.0034617,                   0,              0.9561,             0.86517,             0.91826,             0.47517,            0.037423,           0.0093484,                   0,           0.0099902,           0.0099902,           0.0099902
                   4,            0.035456,           0.0031588,                   0,             0.96332,             0.88526,             0.92626,             0.44472,             0.03815,            0.009152,                   0,           0.0099902,           0.0099902,           0.0099902
                   5,              0.0345,           0.0030374,                   0,             0.95055,              0.8768,             0.92826,             0.49777,            0.035604,           0.0092037,                   0,           0.0099826,           0.0099826,           0.0099826
                   6,            0.033863,           0.0029191,                   0,              0.9691,             0.90458,             0.93916,             0.49433,            0.035206,           0.0087791,                   0,           0.0099729,           0.0099729,           0.0099729
                   7,            0.033452,           0.0028865,                   0,              0.9725,             0.90144,              0.9494,             0.50805,            0.034232,           0.0081072,                   0,            0.009961,            0.009961,            0.009961
                   8,            0.032862,           0.0028145,                   0,             0.96387,             0.91274,             0.94938,              0.5077,            0.034739,           0.0081535,                   0,           0.0099469,           0.0099469,           0.0099469
                   9,            0.032585,           0.0027602,                   0,             0.96227,             0.90684,             0.94554,             0.51825,            0.034111,           0.0082474,                   0,           0.0099307,           0.0099307,           0.0099307
                  10,            0.032534,           0.0027677,                   0,             0.97382,              0.9044,             0.94985,             0.51591,            0.034073,           0.0080331,                   0,           0.0099123,           0.0099123,           0.0099123
